RecordID,Year,Term,Position,TotalScore,StudentID,ClassID
1,2022,Second,11,80.44,159,1
2,2024,First,16,91.09,176,1
3,2021,Third,16,47.93,81,1
4,2020,First,25,64.57,246,3
5,2021,Third,1,74.75,141,2
6,2024,First,12,96.62,172,3
7,2021,Second,25,66.97,18,2
8,2023,Third,10,66.09,337,2
9,2021,Second,19,97.96,400,1
10,2022,First,5,59.66,306,2
11,2021,First,15,21.84,369,1
12,2023,Third,16,50.36,214,2
13,2023,Second,27,36.56,351,2
14,2024,Second,11,52.8,249,3
15,2023,First,3,57.19,159,2
16,2024,First,1,23.2,197,1
17,2023,Third,9,62.61,232,1
18,2024,Third,26,97.62,202,1
19,2023,First,25,46.41,202,1
20,2023,Second,6,95.25,115,3
21,2023,Third,12,63.2,64,1
22,2021,Third,23,5.65,245,3
23,2022,First,30,77.73,69,2
24,2021,Second,21,2.99,71,3
25,2021,First,5,86.78,209,2
26,2023,Second,26,57.61,80,2
27,2023,Third,25,25.76,18,3
28,2023,Second,16,16.12,170,1
29,2021,Third,19,67.51,182,1
30,2021,Second,1,34.93,398,2
31,2021,Third,12,71.36,236,2
32,2023,Third,14,51.25,354,2
33,2020,Second,30,22.4,52,3
34,2021,First,7,88.82,43,1
35,2024,Second,9,2.83,220,2
36,2020,Second,3,43.28,129,2
37,2022,First,30,12.45,41,3
38,2023,Third,24,56.42,398,3
39,2024,Third,5,29.73,339,2
40,2023,Third,25,77.72,314,1
41,2021,Second,24,0.37,59,1
42,2023,Third,28,91.81,360,3
43,2021,First,6,22.73,373,1
44,2021,Third,28,35.24,218,1
45,2021,Second,6,27.75,266,2
46,2022,Second,30,99.8,339,3
47,2022,Second,17,7.26,166,2
48,2024,Third,14,37.05,263,3
49,2020,First,6,16.65,197,1
50,2024,First,12,47.42,78,2
51,2023,Third,5,52.21,381,2
52,2023,Third,7,6.36,39,3
53,2020,First,30,37.82,295,3
54,2023,Third,30,93.23,330,2
55,2021,First,18,54.25,204,1
56,2021,First,2,33.73,219,1
57,2023,Second,9,26.85,16,3
58,2021,First,7,5.33,273,1
59,2020,Second,2,74.87,375,2
60,2023,First,26,59.62,326,2
61,2024,First,13,91.71,218,2
62,2024,Second,10,17.61,370,2
63,2024,First,6,29.96,10,1
64,2024,Third,23,83.29,141,1
65,2022,Third,2,59.15,146,3
66,2023,Second,7,32.32,147,2
67,2022,First,15,48.75,277,2
68,2022,Third,6,41.52,312,3
69,2021,Third,23,97.31,320,2
70,2021,First,3,51.75,53,2
71,2021,Second,13,98.55,344,2
72,2024,Third,20,46.71,118,3
73,2023,Third,2,11.66,72,2
74,2024,Second,24,81.27,98,3
75,2022,Second,22,56.95,6,2
76,2021,Second,19,33.28,165,1
77,2023,First,5,4.22,295,1
78,2022,Second,14,85.74,334,2
79,2024,First,30,86.7,56,1
80,2023,Third,2,83.18,198,1
81,2021,First,17,36.48,265,2
82,2022,Second,12,80.67,268,2
83,2022,First,10,63.09,237,3
84,2023,First,11,75.91,119,2
85,2024,First,12,41.4,181,3
86,2024,Third,16,98.35,66,2
87,2020,First,29,33.04,220,1
88,2020,Third,7,71.87,189,1
89,2021,First,17,32.02,55,2
