AttendanceID,StudentID,ClassID,Date,Status,Remarks
1,48,2,2024-09-27,Absent,Rem libero omnis ab porro aliquid fuga vitae impedit.
2,276,3,2024-09-29,Late,Odit ipsam cumque rem ipsa quo error porro et consequuntur harum.
3,30,2,2024-09-12,Absent,Consectetur nisi illum aliquam adipisci harum praesentium reiciendis in optio fugiat suscipit fuga delectus.
4,247,2,2024-09-29,Present,Amet dignissimos architecto doloribus quibusdam maxime.
5,146,3,2024-09-10,Present,Voluptas quisquam quo corporis non officiis.
6,329,1,2024-09-14,Absent,Laboriosam vel quae necessitatibus aspernatur facere voluptatibus quia quidem accusantium.
7,328,1,2024-09-22,Late,Enim quam ipsa asperiores consequatur alias labore vero.
8,80,2,2024-09-28,Absent,Tempore non id totam minima mollitia repellat officia praesentium recusandae.
9,312,3,2024-09-10,Present,Atque tempora perspiciatis explicabo aliquid fugiat aperiam eligendi quos.
10,393,3,2024-09-08,Absent,Adipisci ea veniam quia ipsam accusantium suscipit necessitatibus.
11,52,3,2024-09-12,Absent,Modi amet molestias nam dicta mollitia voluptate nobis praesentium eos.
12,167,1,2024-09-06,Present,Soluta magnam explicabo consequuntur et quod enim.
13,354,2,2024-09-23,Absent,Dolorem voluptatem illo laboriosam quasi culpa atque corporis veniam ex commodi.
14,30,2,2024-09-04,Present,Repellat voluptates incidunt dicta minus quibusdam quasi voluptates praesentium.
15,27,2,2024-09-10,Absent,Incidunt natus quia saepe cumque qui doloribus libero repellendus ut in quis nesciunt.
16,366,1,2024-09-28,Absent,Nostrum ipsam soluta aperiam non maxime saepe.
17,90,2,2024-09-04,Present,Doloribus blanditiis beatae ab libero minima similique.
18,23,3,2024-09-19,Absent,Eveniet doloremque et cupiditate reprehenderit reiciendis quod veritatis cupiditate sed.
19,385,3,2024-09-19,Present,Ipsam veniam delectus suscipit id error possimus ea.
20,208,2,2024-09-30,Present,Ducimus placeat sunt molestiae quidem maiores fuga quos nostrum.
21,225,3,2024-09-25,Absent,Et molestiae ea nisi tempora molestias occaecati praesentium reprehenderit vitae.
22,220,2,2024-09-23,Late,Pariatur illo exercitationem omnis officiis dolore sint.
23,124,1,2024-09-07,Absent,Similique magnam rem inventore voluptatibus dicta culpa repellendus voluptatem vel tenetur aperiam.
24,121,2,2024-09-03,Absent,Dolorum non occaecati odio expedita eligendi molestias sint eveniet totam aut sint.
25,80,2,2024-09-03,Present,Iste earum iusto deleniti commodi velit.
26,96,2,2024-09-20,Late,Numquam nobis minus alias voluptatum suscipit aspernatur laborum similique possimus.
27,25,1,2024-09-10,Absent,Quis architecto quis ad eos exercitationem nihil quam.
28,354,2,2024-09-08,Absent,Eligendi itaque ab ab perspiciatis nesciunt et.
29,255,2,2024-09-27,Present,Non deleniti iusto accusantium vel distinctio dolorum sint minima quae quia tenetur assumenda.
30,19,1,2024-09-29,Present,Hic et asperiores magnam dignissimos consequatur exercitationem eius.
31,356,2,2024-09-22,Present,Earum qui ea possimus sunt quia architecto.
32,239,3,2024-09-21,Late,Illum saepe ratione porro porro itaque eum repellendus id.
33,371,2,2024-09-22,Late,Reiciendis cum ipsam hic officiis exercitationem eos officiis voluptates nisi provident quos occaecati quis.
34,355,1,2024-09-20,Late,Suscipit fugiat ipsam quisquam culpa ipsam fuga minus iste quo totam sint nam.
35,380,2,2024-09-24,Absent,Porro impedit facere omnis voluptates impedit nobis ab eos corrupti reprehenderit.
36,88,1,2024-09-06,Late,Quam laudantium dicta esse sequi perferendis repellat velit quia laboriosam quod debitis.
37,326,1,2024-09-30,Present,Itaque consequatur omnis cupiditate quas molestiae repellat in corrupti architecto voluptate aut amet.
38,42,2,2024-09-03,Absent,Magnam saepe magnam eius at fugiat vel aut debitis beatae ullam nobis.
39,253,1,2024-09-28,Late,Quo fugit assumenda eaque nesciunt qui numquam repellat exercitationem fuga.
40,11,2,2024-10-02,Late,Dolor reprehenderit blanditiis quia sed quidem architecto ipsa nam rem vel quidem at.
41,153,3,2024-09-23,Late,Provident ipsa quisquam optio sunt vitae consectetur.
42,176,3,2024-09-29,Absent,Doloremque repellat quibusdam consequatur qui dolore dicta numquam temporibus aspernatur.
43,274,3,2024-09-10,Late,Mollitia nostrum voluptates nobis optio eaque omnis temporibus vitae.
44,375,2,2024-09-23,Late,Dolores numquam nam pariatur illum quisquam in eos officiis ab iste.
45,275,1,2024-09-27,Absent,Placeat unde ratione et sint vel commodi animi sit voluptatibus vero corporis.
46,129,1,2024-09-23,Late,Laboriosam quia veniam deserunt doloremque odio in unde necessitatibus repellat alias placeat dignissimos.
47,45,2,2024-09-09,Present,Possimus tenetur pariatur temporibus repudiandae earum sit impedit placeat veritatis voluptatum consequatur quisquam.
48,85,2,2024-09-18,Present,Reprehenderit nobis nostrum magni quo vero pariatur quos accusamus itaque.
49,206,3,2024-09-29,Late,Reprehenderit repellendus facilis possimus id optio ipsum tempore reprehenderit.
50,90,1,2024-09-16,Present,Sed vel neque molestias quia a minima fugit sequi ipsa porro molestiae possimus eius.
51,48,2,2024-09-25,Late,Praesentium saepe enim sunt maiores asperiores eligendi earum minima totam necessitatibus.
52,195,1,2024-09-22,Late,Amet molestiae ipsum beatae voluptatum nobis veniam ad atque doloribus iste repudiandae libero.
53,59,3,2024-09-26,Late,Sed repellendus nobis non voluptate distinctio.
54,394,3,2024-09-24,Absent,Quia voluptates ea voluptate tenetur commodi velit ipsam expedita cumque soluta saepe.
55,48,3,2024-09-10,Late,Eos expedita facilis eius deserunt sit dolorum nulla voluptatum voluptatum exercitationem error laborum.
56,220,2,2024-09-26,Late,Id doloribus repellat voluptate facilis at provident.
57,241,3,2024-09-24,Absent,Et rem maxime nulla quidem magni natus repudiandae quisquam dolorum.
58,356,2,2024-09-06,Present,Enim asperiores assumenda perferendis cum dignissimos quod nulla voluptate.
59,189,2,2024-09-22,Absent,Blanditiis error quos asperiores libero veniam architecto sint ratione.
60,163,2,2024-09-26,Present,Ratione hic odio voluptatem libero officia.
61,354,1,2024-09-12,Present,Officia eveniet quibusdam mollitia voluptas harum optio ratione repellendus rem molestias.
62,237,2,2024-09-29,Present,Accusamus ipsum alias possimus quasi tenetur in reiciendis id qui quia temporibus nisi.
63,193,1,2024-09-17,Present,Dolorum quaerat ducimus deleniti veniam facilis quisquam amet ad aliquid suscipit.
64,400,2,2024-09-12,Present,Ipsam autem optio impedit necessitatibus sequi nemo optio repellat numquam.
65,350,3,2024-09-07,Absent,Provident iusto est ipsam esse officiis maiores cumque est ratione officia tempora.
66,75,2,2024-09-07,Absent,Quidem veritatis perspiciatis architecto assumenda nihil illo debitis occaecati distinctio incidunt nam voluptatum.
67,44,2,2024-09-19,Late,Rerum quibusdam est nemo voluptatem esse laboriosam distinctio sint iste quas.
68,379,2,2024-09-25,Present,Ratione nulla debitis itaque neque eum veniam atque aperiam beatae.
69,263,3,2024-09-25,Present,Incidunt delectus nulla iure suscipit ipsum ratione veniam in dignissimos.
70,127,2,2024-09-06,Absent,Possimus dolores sequi tenetur voluptas repellendus illum dignissimos.
71,89,2,2024-09-12,Present,Harum laboriosam impedit labore optio nihil.
72,118,3,2024-09-18,Present,Delectus ad voluptate voluptas sit nam cupiditate.
73,72,2,2024-09-24,Absent,Consequatur laudantium molestias dolorum placeat tempore fuga fugit aut nostrum maiores atque.
74,67,3,2024-09-28,Present,Non ipsa quidem quas expedita provident rem itaque ipsam praesentium.
75,65,2,2024-09-29,Late,Iure consectetur autem officiis fugit ipsam molestias nam iusto ullam consectetur laborum.
76,290,1,2024-09-04,Absent,Minima illo blanditiis tempora tempora fugiat.
77,265,3,2024-09-29,Late,Autem vitae distinctio officia reiciendis delectus consequatur accusantium tempora.
78,54,2,2024-09-18,Late,Blanditiis molestiae illum atque modi illo tenetur reiciendis hic perferendis labore similique repellendus.
79,143,2,2024-09-20,Present,Iusto totam eius odit velit tempore error impedit vero occaecati unde.
80,45,2,2024-09-22,Late,Delectus vitae minima quae nulla non illum.
81,103,2,2024-09-19,Present,Ad ipsam eveniet doloribus deserunt vero.
82,132,2,2024-09-22,Late,Nemo voluptatibus blanditiis accusamus sequi et.
83,343,1,2024-09-22,Absent,Nostrum aspernatur nesciunt magnam assumenda minus dicta quas perferendis quis laboriosam ex maxime.
84,45,3,2024-09-14,Absent,Vitae atque eos blanditiis maiores sint recusandae ipsa ipsam dicta fuga nulla.
85,151,2,2024-09-26,Present,Placeat eligendi ut facilis iste placeat consectetur debitis doloremque.
86,293,1,2024-09-25,Absent,Molestiae dolores in architecto molestias placeat ipsa tempora nobis officia deleniti vitae odio.
87,131,2,2024-09-26,Absent,Facere vero mollitia sapiente fuga optio fugiat cum minima natus vitae hic accusamus.
88,341,1,2024-09-08,Late,Labore saepe fugiat sit rem quod illo quasi excepturi enim provident.
89,47,3,2024-09-13,Present,Fuga facilis mollitia dolores alias quisquam aliquam eligendi atque a voluptates.
90,192,1,2024-09-14,Late,Quod unde earum fuga maxime temporibus inventore.
91,59,2,2024-09-05,Absent,Deleniti facilis ad a laudantium veritatis in.
92,274,2,2024-09-27,Late,Hic dolorem quam mollitia omnis voluptas dolor tempore.
93,375,3,2024-09-25,Late,Possimus officia quasi ad cum corporis.
94,295,3,2024-09-27,Absent,Officiis voluptatem eum veniam quibusdam quisquam corrupti dolore nostrum expedita a dignissimos quaerat.
95,75,2,2024-09-05,Absent,Voluptatibus sed tempore similique harum tempora delectus quis quasi tenetur.
96,1,2,2024-09-28,Present,Dolore fugiat magni ut animi sequi sapiente.
97,67,1,2024-09-13,Late,Tenetur error labore corrupti cupiditate doloribus neque odit.
98,327,1,2024-09-26,Late,Totam repudiandae reiciendis dolorum corporis ex distinctio.
99,115,3,2024-09-17,Absent,Earum sed eius quod quasi pariatur modi nulla molestiae atque debitis.
100,60,1,2024-09-29,Present,Totam sunt ipsa commodi eum aut porro doloremque sed aut dignissimos doloribus suscipit.
101,364,3,2024-09-08,Late,Dicta veniam ipsum tempore accusamus odit possimus hic eum fugiat.
102,111,2,2024-09-10,Absent,Error rerum quaerat asperiores quia doloremque.
103,102,1,2024-09-15,Late,Praesentium libero et excepturi nisi animi.
