ClassID,ClassName,SubjectID,TeacherID,Year,Term,StartDate,EndDate
3,SSS3,6,7,2022,First,10 October 2021,5 February 2022
2,SSS2,13,4,2022,Second,10 March 2022,5 July 2022
3,SSS3,20,11,2020,First,10 June 2020,5 October 2020
3,SSS3,1,3,2023,Second,10 November 2020,5 March 2021
2,SSS2,11,2,2023,Second,10 March 2021,5 July 2021
1,SSS1,19,6,2022,Second,10 July 2020,5 November 2020
3,SSS3,4,7,2023,First,10 January 2022,5 May 2022
1,SSS1,10,13,2021,Second,10 March 2022,5 July 2022
2,SSS2,13,6,2024,Third,10 September 2024,5 January 2025
2,SSS2,8,7,2023,Third,10 July 2022,5 November 2022
1,SSS1,3,13,2020,Second,10 November 2021,5 March 2022
1,SSS1,13,4,2020,Second,10 July 2023,5 November 2023
1,SSS1,2,9,2020,First,10 January 2023,5 May 2023
2,SSS2,18,2,2020,Second,10 October 2020,5 February 2021
1,SSS1,16,6,2021,Second,10 February 2024,5 June 2024
1,SSS1,3,3,2022,First,10 February 2023,5 June 2023
2,SSS2,8,3,2024,Third,10 October 2023,5 February 2024
1,SSS1,5,5,2022,Third,10 September 2021,5 January 2022
1,SSS1,19,9,2021,First,10 May 2020,5 September 2020
2,SSS2,1,8,2020,First,10 May 2021,5 September 2021
2,SSS2,9,9,2021,First,10 September 2021,5 January 2022
1,SSS1,3,14,2022,First,10 May 2021,5 September 2021
3,SSS3,7,5,2023,Third,10 May 2020,5 September 2020
2,SSS2,6,11,2023,Second,10 November 2020,5 March 2021
2,SSS2,8,5,2020,Second,10 March 2023,5 July 2023
1,SSS1,12,1,2023,First,10 October 2023,5 February 2024
1,SSS1,17,5,2020,First,10 July 2020,5 November 2020
2,SSS2,8,13,2020,Third,10 June 2023,5 October 2023
3,SSS3,14,5,2020,Second,10 January 2024,5 May 2024
1,SSS1,6,8,2020,Second,10 September 2020,5 January 2021
1,SSS1,6,7,2021,Second,10 January 2021,5 May 2021
2,SSS2,11,14,2023,Second,10 September 2021,5 January 2022
2,SSS2,17,13,2021,Third,10 January 2020,5 May 2020
1,SSS1,5,3,2023,Third,10 October 2021,5 February 2022
1,SSS1,8,12,2022,First,10 July 2022,5 November 2022
1,SSS1,7,4,2021,Second,10 February 2021,5 June 2021
3,SSS3,3,11,2023,Second,10 June 2021,5 October 2021
3,SSS3,13,15,2024,First,10 October 2024,5 February 2025
3,SSS3,20,1,2023,Second,10 March 2024,5 July 2024
2,SSS2,12,7,2020,First,10 February 2021,5 June 2021
3,SSS3,18,4,2020,Second,10 June 2020,5 October 2020
2,SSS2,19,6,2020,Second,10 November 2023,5 March 2024
3,SSS3,2,8,2023,Third,10 February 2024,5 June 2024
2,SSS2,17,2,2021,First,10 February 2023,5 June 2023
1,SSS1,5,1,2023,Second,10 January 2023,5 May 2023
3,SSS3,2,14,2023,First,10 November 2023,5 March 2024
1,SSS1,7,6,2020,First,10 July 2022,5 November 2022
1,SSS1,3,4,2020,Second,10 June 2023,5 October 2023
3,SSS3,18,7,2020,Third,10 July 2024,5 November 2024
3,SSS3,14,13,2023,Third,10 June 2020,5 October 2020
