RecordID,Year,Term,Position,TotalScore,StudentID,ClassID
1,2024,Third,23,68.15,383,3
2,2020,Second,30,24.21,296,3
3,2021,Third,15,83.99,377,1
4,2022,First,30,99.84,365,3
5,2024,Second,23,26.84,138,3
6,2023,Third,25,96.6,398,3
7,2024,Second,26,94.56,246,2
8,2021,Second,17,48.24,46,2
9,2020,First,19,34.66,126,1
10,2021,Second,24,13.88,133,3
11,2023,Second,27,29.23,72,1
12,2020,Third,20,60.68,83,1
13,2023,Second,25,39.92,210,2
14,2021,First,20,45.21,399,1
15,2023,First,30,96.42,260,1
16,2020,First,7,30.82,49,2
17,2023,Second,21,26.26,243,2
18,2020,Second,26,42.73,260,1
19,2023,First,4,21.69,34,2
20,2022,First,9,11.08,152,3
21,2021,Third,10,83.73,278,1
22,2020,First,23,44.76,377,1
23,2021,Third,15,40.16,256,3
24,2021,First,7,43.48,222,1
25,2020,Third,13,42.44,334,3
26,2021,First,9,65.77,244,2
27,2024,First,13,96.42,11,1
28,2020,First,10,31.12,284,3
29,2023,First,18,12.71,283,3
30,2021,Second,30,91.7,360,3
31,2024,Second,21,21.8,373,1
32,2024,First,29,15.78,26,1
33,2024,First,26,22.67,165,2
34,2023,Third,13,23.88,310,2
35,2024,Second,2,20.62,279,3
36,2022,First,4,46.27,14,3
37,2021,Second,23,2.04,327,3
38,2021,Third,26,64.55,295,1
39,2022,First,12,92.47,113,3
40,2020,Third,20,40.34,45,3
41,2020,Second,14,45.84,358,1
42,2024,Second,28,20.02,230,2
43,2023,Third,8,24.53,52,3
44,2023,Third,16,47.61,27,3
45,2024,Third,14,33.78,149,2
46,2021,First,13,29.85,136,3
47,2024,First,20,73.81,169,1
48,2021,Second,16,39.09,358,3
49,2020,Third,3,9.09,370,2
50,2022,Second,21,50.13,70,1
51,2021,Third,30,37.29,207,2
52,2020,First,14,83.03,95,3
53,2023,Second,21,9.23,298,3
54,2024,Third,14,11.1,182,3
55,2022,Second,25,39.26,88,2
56,2024,Third,7,51.5,366,3
57,2024,First,3,41.39,51,2
58,2021,First,24,28.26,62,3
59,2022,First,15,3.75,170,2
60,2021,First,23,98.02,200,3
61,2023,Third,13,2.19,72,2
62,2023,Third,10,42.16,338,3
63,2021,Third,28,83.34,308,3
64,2024,Third,16,81.19,222,1
65,2024,Third,12,30.77,261,2
66,2021,Second,15,51.18,95,2
67,2021,First,9,54.48,183,3
