ClassID,ClassName,SubjectID,TeacherID,Year,Term,StartDate,EndDate
2,SSS2,13,7,2024,Second,10 January 2023,5 May 2023
3,SSS3,18,2,2023,First,10 February 2022,5 June 2022
2,SSS2,9,14,2022,Second,10 June 2022,5 October 2022
2,SSS2,6,8,2023,Third,10 June 2024,5 October 2024
1,SSS1,6,8,2020,Third,10 May 2020,5 September 2020
2,SSS2,2,1,2022,Third,10 October 2023,5 February 2024
2,SSS2,8,3,2022,Second,10 June 2023,5 October 2023
3,SSS3,4,12,2022,Second,10 May 2021,5 September 2021
2,SSS2,17,9,2020,Third,10 January 2020,5 May 2020
3,SSS3,5,9,2021,First,10 October 2024,5 February 2025
1,SSS1,9,7,2021,Second,10 November 2024,5 March 2025
2,SSS2,12,14,2022,Second,10 March 2024,5 July 2024
2,SSS2,7,13,2024,Third,10 May 2020,5 September 2020
1,SSS1,14,5,2022,First,10 May 2023,5 September 2023
1,SSS1,14,1,2023,Second,10 February 2023,5 June 2023
1,SSS1,1,14,2022,First,10 February 2024,5 June 2024
3,SSS3,16,2,2024,Third,10 May 2022,5 September 2022
3,SSS3,17,11,2023,First,10 March 2024,5 July 2024
3,SSS3,11,13,2022,Second,10 October 2021,5 February 2022
3,SSS3,8,7,2020,Third,10 May 2023,5 September 2023
3,SSS3,6,2,2023,First,10 September 2024,5 January 2025
1,SSS1,4,15,2023,Second,10 May 2023,5 September 2023
2,SSS2,5,10,2023,First,10 November 2020,5 March 2021
1,SSS1,20,15,2021,Second,10 November 2024,5 March 2025
3,SSS3,1,9,2024,First,10 October 2023,5 February 2024
3,SSS3,11,13,2020,Second,10 January 2022,5 May 2022
1,SSS1,15,2,2024,Second,10 June 2022,5 October 2022
2,SSS2,8,4,2020,Third,10 May 2024,5 September 2024
3,SSS3,4,14,2022,Third,10 February 2021,5 June 2021
2,SSS2,20,6,2024,First,10 July 2020,5 November 2020
3,SSS3,5,8,2022,Second,10 May 2023,5 September 2023
3,SSS3,4,10,2022,Third,10 November 2024,5 March 2025
2,SSS2,17,10,2021,Third,10 September 2024,5 January 2025
3,SSS3,6,6,2020,Third,10 May 2024,5 September 2024
2,SSS2,4,13,2021,Third,10 September 2020,5 January 2021
3,SSS3,1,9,2022,Third,10 March 2023,5 July 2023
2,SSS2,8,2,2023,Third,10 September 2022,5 January 2023
1,SSS1,20,5,2022,Second,10 October 2023,5 February 2024
1,SSS1,3,2,2022,Second,10 November 2020,5 March 2021
3,SSS3,2,5,2021,First,10 September 2023,5 January 2024
3,SSS3,11,1,2020,Second,10 February 2022,5 June 2022
1,SSS1,1,7,2020,Second,10 July 2020,5 November 2020
2,SSS2,18,7,2023,First,10 November 2022,5 March 2023
3,SSS3,19,1,2021,Second,10 September 2024,5 January 2025
3,SSS3,19,13,2020,Third,10 June 2024,5 October 2024
2,SSS2,9,3,2020,Second,10 January 2022,5 May 2022
2,SSS2,1,11,2022,Third,10 June 2021,5 October 2021
1,SSS1,15,12,2024,First,10 June 2023,5 October 2023
3,SSS3,8,8,2022,First,10 June 2024,5 October 2024
3,SSS3,20,7,2024,First,10 October 2020,5 February 2021
