PerformanceID,StudentID,SubjectID,ClassID,Year,Term,Score
1,399,12,3,2020,Third,22.98
2,6,6,3,2021,Second,46.37
3,394,11,2,2020,Third,11.74
4,367,3,1,2022,First,4.79
5,376,2,2,2022,First,31.06
6,230,13,1,2021,First,47.87
7,14,14,1,2020,Second,26.38
8,346,12,2,2021,First,43.16
9,337,4,3,2020,Third,75.07
10,20,3,1,2020,First,65.07
11,131,9,2,2021,First,48.31
12,180,12,2,2024,Second,58.23
13,240,14,2,2023,Second,22.98
14,93,3,3,2021,Second,44.82
15,74,11,1,2020,Second,18.89
16,217,3,3,2021,Third,12.59
17,140,3,3,2020,Third,88.93
18,344,15,1,2024,Second,38.34
19,303,3,3,2021,Third,60.31
20,10,5,1,2021,Third,78.53
21,298,2,3,2024,First,87.16
22,310,11,2,2024,Second,85.78
23,355,14,1,2023,First,81.68
24,275,13,2,2023,First,45.44
25,121,4,2,2020,First,16.9
26,312,3,1,2022,Third,75.18
27,33,13,3,2021,First,25.08
28,225,11,2,2022,Second,11.4
29,153,7,2,2023,Second,0.22
30,350,5,3,2020,Third,65.82
31,31,3,3,2020,Third,34.23
32,142,2,2,2020,Second,64.67
33,371,15,1,2023,First,74.4
34,217,4,1,2020,First,43.67
35,357,8,1,2020,Second,89.64
36,91,10,1,2020,First,94.51
37,249,9,3,2023,Third,56.71
38,131,2,2,2022,First,11.44
39,143,2,2,2020,Third,99.64
40,31,15,3,2021,Second,61.57
41,184,3,1,2021,Third,55.12
42,23,10,2,2020,First,47.07
43,176,16,3,2020,Second,0.06
44,153,2,3,2024,Third,88.57
45,92,14,3,2021,Third,11.31
46,194,7,3,2023,First,43.75
47,115,2,3,2020,Second,59.35
48,393,7,3,2023,Third,88.83
49,83,9,2,2024,Third,69.87
50,1,8,1,2022,Second,17.42
51,136,2,1,2022,Second,23.56
52,369,5,3,2024,Second,83.76
53,36,1,2,2021,First,20.66
54,264,2,2,2022,Second,32.42
55,44,1,3,2022,First,29.58
56,273,13,2,2021,First,8.25
57,91,4,1,2020,Second,18.75
58,140,10,1,2024,Second,41.87
59,265,8,3,2024,Second,66.99
60,77,10,2,2021,First,93.71
61,269,10,1,2024,First,5.32
62,133,9,2,2021,Second,10.51
63,74,9,3,2021,First,45.72
64,48,4,3,2020,Third,52.03
65,168,7,2,2024,Second,40.71
66,375,3,1,2024,Third,99.4
67,127,11,2,2024,First,39.64
68,175,16,2,2022,Third,22.03
69,310,14,3,2024,Second,15.68
70,272,6,1,2023,First,81.95
71,246,9,3,2020,Third,48.74
72,226,15,1,2022,Second,51.98
73,176,1,3,2024,Second,2.43
74,204,12,3,2023,First,60.61
75,390,7,1,2021,First,99.23
76,16,8,2,2021,Second,31.92
77,139,2,3,2020,First,11.72
78,108,7,3,2020,First,96.63
79,276,12,3,2021,Second,32.23
80,276,5,2,2022,Second,10.4
81,156,14,3,2021,First,99.37
82,285,15,2,2022,Third,97.7
83,296,5,3,2021,First,97.19
84,302,8,2,2022,Second,76.98
85,188,15,2,2020,First,56.98
86,206,2,3,2020,First,29.41
87,37,15,3,2021,Third,68.94
88,108,5,3,2023,First,60.06
89,388,5,1,2023,First,87.52
90,306,4,3,2021,First,65.74
91,65,8,2,2020,First,43.72
92,313,16,1,2024,First,27.21
93,13,10,1,2020,First,9.09
94,285,1,1,2024,Third,52.25
95,45,10,1,2020,First,49.61
96,52,5,2,2024,Third,15.88
97,152,13,3,2023,First,12.79
98,157,8,3,2022,Third,5.52
99,132,3,3,2024,First,86.01
100,263,14,3,2020,First,41.5
101,310,4,3,2023,Third,75.32
102,277,4,2,2023,First,78.33
103,195,4,1,2023,First,88.12
104,51,8,1,2022,Third,15.04
105,143,3,1,2020,Third,64.59
106,205,1,1,2023,First,41.85
107,137,6,3,2024,First,45.41
108,112,11,3,2023,Third,66.03
109,298,6,3,2024,First,46.36
110,42,12,3,2021,Second,71.46
111,100,3,1,2022,First,30.85
112,205,8,1,2022,Second,39.13
113,243,15,2,2023,Third,6.63
114,384,11,1,2024,Second,38.98
115,359,8,3,2023,Second,68.17
116,36,9,3,2023,First,60.58
117,235,1,3,2021,Second,47.92
118,145,1,2,2023,Second,57.0
119,214,4,3,2021,Second,89.78
120,386,6,2,2024,First,86.08
121,77,5,1,2021,First,12.39
122,129,3,3,2024,First,10.82
123,6,1,3,2021,Third,50.83
124,218,5,3,2023,Second,98.81
125,284,11,1,2020,Second,52.31
126,153,2,1,2022,First,49.4
127,268,8,3,2024,Second,37.71
128,49,8,3,2021,Third,48.31
129,189,6,2,2024,Third,65.89
130,256,14,3,2023,Second,36.81
131,149,6,2,2021,Third,70.7
132,249,12,3,2023,Second,70.88
133,145,16,3,2024,Second,21.54
134,50,15,3,2022,First,27.89
135,151,6,2,2024,Third,77.33
136,38,14,3,2023,Second,74.56
137,126,11,2,2024,Third,82.49
138,373,11,2,2022,Third,74.92
139,194,14,2,2023,Second,29.9
140,58,16,3,2024,Third,61.7
141,91,6,3,2024,Third,99.19
142,218,10,1,2023,First,44.07
143,370,12,3,2024,Second,12.01
144,386,11,3,2024,Second,68.34
145,77,13,1,2020,First,26.11
146,182,12,1,2021,Third,24.39
147,203,15,1,2020,Second,20.06
148,266,16,1,2024,First,33.44
149,208,14,3,2023,First,90.15
150,35,1,1,2022,Third,85.25
151,228,8,2,2023,Third,81.9
152,284,12,3,2024,Second,28.83
153,185,8,2,2024,Second,15.08
154,246,16,1,2023,Third,14.96
155,82,13,1,2023,Second,71.11
156,53,2,2,2024,Third,43.72
157,51,6,3,2020,First,6.99
158,340,16,1,2024,Second,65.87
159,55,8,2,2022,Third,67.68
160,398,1,1,2023,First,28.16
161,214,10,1,2023,Second,87.76
162,123,15,3,2020,First,3.14
163,39,4,1,2023,Second,84.04
164,122,7,3,2021,Third,44.91
165,158,13,3,2023,Third,87.52
166,266,11,3,2023,Second,0.64
167,323,11,2,2024,First,79.64
168,321,8,3,2021,First,58.9
169,35,8,1,2022,Third,80.62
170,269,16,3,2024,Second,40.02
171,274,11,3,2022,Second,2.4
172,359,13,2,2021,Second,70.22
173,75,5,3,2021,Second,97.1
174,92,5,3,2024,Third,39.15
175,185,14,1,2022,First,54.47
176,395,4,1,2024,Second,42.89
177,152,16,1,2020,First,61.55
178,46,13,3,2024,Second,8.53
179,107,2,2,2024,Second,94.5
180,14,6,3,2021,Second,40.9
181,144,16,3,2023,Third,69.06
182,9,5,1,2022,Third,98.48
183,244,2,3,2024,Third,53.63
184,297,5,3,2023,Second,38.42
185,124,15,3,2022,First,83.4
186,200,2,3,2020,First,92.78
187,42,14,1,2021,Third,86.62
188,163,1,1,2023,Second,78.56
189,85,9,3,2024,Third,6.8
190,156,1,3,2023,Third,17.25
191,340,11,1,2021,First,54.77
192,229,13,2,2023,Second,62.1
193,230,10,3,2022,Second,92.37
194,5,4,3,2024,First,2.24
195,215,3,3,2022,Third,25.26
196,235,1,3,2022,Third,98.93
197,245,3,1,2024,First,27.69
198,36,3,3,2024,First,3.09
199,173,4,1,2023,Second,90.15
200,144,2,3,2022,Third,64.09
201,208,12,3,2024,Second,47.89
202,243,8,3,2023,Third,89.18
203,265,10,3,2021,Third,26.18
204,324,5,3,2022,Third,43.24
205,156,12,2,2020,Second,32.79
206,345,13,2,2021,Second,66.51
207,359,6,1,2021,Second,81.7
208,232,2,1,2022,First,59.3
209,338,14,3,2021,Second,84.69
210,241,16,3,2023,Second,36.16
211,39,16,2,2024,Second,76.54
212,172,13,2,2023,Second,50.61
213,256,12,1,2020,Third,15.59
214,379,13,3,2020,Second,33.8
215,69,1,2,2020,Second,3.31
216,328,13,2,2023,Second,75.06
217,162,12,3,2020,Second,75.11
218,35,16,2,2021,First,90.19
219,288,4,3,2023,First,73.19
220,348,11,3,2020,Second,48.36
221,274,16,3,2021,Second,33.89
222,320,13,3,2020,Second,4.25
223,59,15,2,2022,Second,57.26
224,60,7,2,2022,Third,35.6
225,99,5,1,2020,Second,29.7
226,225,13,2,2021,First,56.6
227,354,6,2,2020,Second,34.72
228,58,15,1,2020,Second,79.62
229,286,13,1,2022,Third,57.78
230,4,1,3,2024,Second,47.37
231,336,8,3,2024,Second,45.61
232,121,5,2,2022,Third,14.46
233,24,13,3,2024,Second,91.21
234,74,5,3,2021,First,79.17
235,228,12,2,2022,First,30.62
236,393,11,1,2024,First,1.7
237,58,11,1,2021,First,21.22
238,212,3,1,2022,Third,48.58
239,188,6,2,2022,Third,16.6
